episode_number,episode_index,dataset_start,dataset_end,local_start,local_end,local_new_start,trim_timestamp_s
0,0,0,463,0,463,15,0.500s
1,1,463,962,0,499,46,1.533s
2,2,962,1528,0,566,61,2.033s
3,3,1528,2137,0,609,82,2.733s
4,4,2137,2648,0,511,73,2.433s
5,5,2648,3252,0,604,49,1.633s
6,6,3252,3772,0,520,66,2.200s
7,7,3772,4247,0,475,47,1.567s
8,8,4247,4780,0,533,70,2.333s
9,9,4780,5301,0,521,60,2.000s
10,10,5301,5846,0,545,84,2.800s
11,11,5846,6330,0,484,45,1.500s
12,12,6330,6917,0,587,34,1.133s
13,13,6917,7441,0,524,39,1.300s
14,14,7441,8151,0,710,141,4.700s
15,15,8151,8647,0,496,44,1.467s
16,16,8647,9119,0,472,48,1.600s
17,17,9119,9700,0,581,54,1.800s
18,18,9700,10201,0,501,20,0.667s
19,19,10201,10711,0,510,40,1.333s
20,20,10711,11217,0,506,39,1.300s
21,21,11217,11720,0,503,34,1.133s
22,22,11720,12305,0,585,43,1.433s
23,23,12305,12878,0,573,100,3.333s
24,24,12878,13469,0,591,89,2.967s
25,25,13469,13979,0,510,57,1.900s
26,26,13979,14532,0,553,66,2.200s
27,27,14532,15030,0,498,53,1.767s
28,28,15030,15602,0,572,74,2.467s
29,29,15602,16146,0,544,104,3.467s
30,30,16146,16663,0,517,75,2.500s
31,31,16663,17205,0,542,55,1.833s
32,32,17205,17899,0,694,58,1.933s
33,33,17899,18432,0,533,51,1.700s
34,34,18432,19008,0,576,45,1.500s
35,35,19008,19570,0,562,57,1.900s
36,36,19570,20242,0,672,45,1.500s
37,37,20242,20868,0,626,49,1.633s
38,38,20868,21329,0,461,34,1.133s
39,39,21329,21785,0,456,45,1.500s
40,40,21785,22458,0,673,46,1.533s
41,41,22458,23019,0,561,41,1.367s
42,42,23019,23517,0,498,48,1.600s
43,43,23517,24137,0,620,51,1.700s
